,Town,new,Date,Year,Month,Day,lng,lat,Population,total
1,BEOGRAD,3,09-Mar-20,2020,3,9,20.468,44.8186,1659440,3
2,BEOGRAD,2,10-Mar-20,2020,3,10,20.468,44.8186,1659440,5
3,BEOGRAD,3,11-Mar-20,2020,3,11,20.468,44.8186,1659440,8
4,BEOGRAD,5,12-Mar-20,2020,3,12,20.468,44.8186,1659440,13
5,BEOGRAD,6,14-Mar-20,2020,3,14,20.468,44.8186,1659440,19
6,BEOGRAD,2,15-Mar-20,2020,3,15,20.468,44.8186,1659440,21
7,BEOGRAD,3,16-Mar-20,2020,3,16,20.468,44.8186,1659440,24
8,BEOGRAD,8,17-Mar-20,2020,3,17,20.468,44.8186,1659440,32
9,BEOGRAD,5,18-Mar-20,2020,3,18,20.468,44.8186,1659440,37
10,BEOGRAD,7,19-Mar-20,2020,3,19,20.468,44.8186,1659440,44
11,BEOGRAD,10,20-Mar-20,2020,3,20,20.468,44.8186,1659440,54
12,BEOGRAD,17,21-Mar-20,2020,3,21,20.468,44.8186,1659440,71
13,BEOGRAD,27,22-Mar-20,2020,3,22,20.468,44.8186,1659440,98
14,BEOGRAD,15,23-Mar-20,2020,3,23,20.468,44.8186,1659440,113
15,BEOGRAD,14,24-Mar-20,2020,3,24,20.468,44.8186,1659440,127
16,BEOGRAD,173,25-Mar-20,2020,3,25,20.468,44.8186,1659440,
,,,,,,,,,,
,,,,,,,,,,
,,127,173,46,,,,,,
